Time, Latitude, Longitude, Roll, Pitch, Heading, Angle of Attack, Pitch Component of AoA, Sideslip, Glideslope
TIME(23085), -0.0916264803571892, -74.1637018428439, -101, 31, 270, 55, 9, 52, -31
TIME(23087), -0.0915162592020108, -74.1942463069208, -107, -5, 115, 127, 24, 43, -131
TIME(23089), -0.0916508242503015, -74.2247108153728, -110, 40, 129, 151, 24, 14, -128
TIME(23092), -0.0927303293241779, -74.2447907620971, -98, 56, 63, 170, 3, -8, -133
TIME(23094), -0.0934808837972232, -74.2628280546521, 51, 67, 234, 124, 3, -56, -68
TIME(23096), -0.0942543536269211, -74.2801386283372, 10, 85, 192, 147, -6, -33, -95
TIME(23098), -0.0950778688964868, -74.2973322818383, 130, 83, 289, 143, -12, -35, -64
TIME(23101), -0.0956782104925163, -74.3120871331874, 120, 79, 285, 141, -12, -36, -63
TIME(23103), -0.0961288886941501, -74.3267923637959, 117, 78, 280, 140, -13, -37, -64
TIME(23105), -0.0963828567370855, -74.3384313432134, 114, 77, 276, 140, -13, -38, -64
TIME(23108), -0.0965734033996994, -74.3508160704005, 111, 76, 274, 139, -12, -38, -64
TIME(23110), -0.0966953546383996, -74.3623567970193, 110, 76, 272, 140, -12, -38, -64
TIME(23112), -0.0967830694632501, -74.3745107215213, 109, 76, 271, 140, -12, -38, -64
TIME(23114), -0.0968386247505742, -74.385400008713, 109, 76, 270, 139, -12, -38, -64
TIME(23117), -0.0968808873318349, -74.3967194083973, 108, 76, 270, 140, -12, -38, -64
TIME(23119), -0.0969091765758887, -74.4063135493656, 108, 76, 270, 139, -12, -38, -64
TIME(23121), -0.0969330706881339, -74.4158571093666, 108, 75, 270, 139, -12, -38, -64
TIME(23124), -0.096953252991717, -74.4248551090892, 108, 75, 269, 139, -12, -38, -65
TIME(23126), -0.0969719356683652, -74.4338529814753, 108, 75, 270, 139, -12, -38, -65
TIME(23128), -0.0969889034265831, -74.4425898016337, 108, 75, 269, 140, -12, -38, -65
TIME(23130), -0.0970049982559746, -74.4510033691196, 108, 75, 269, 139, -12, -38, -65
TIME(23133), -0.097020772501162, -74.4592738987226, 108, 75, 269, 140, -12, -38, -65
TIME(23135), -0.0970360720895526, -74.4673371371214, 108, 75, 269, 140, -12, -38, -65
TIME(23137), -0.0970500797667263, -74.4748334420405, 108, 75, 269, 140, -12, -38, -65
TIME(23139), -0.0970646575379368, -74.4825541584365, 108, 75, 269, 140, -12, -38, -65
TIME(23141), -0.0970791373733378, -74.4901703530475, 108, 75, 269, 140, -12, -37, -65
TIME(23144), -0.0970926878842246, -74.497341332561, 108, 75, 269, 140, -12, -37, -66
TIME(23146), -0.0971065441408638, -74.5046581984606, 108, 75, 269, 141, -12, -37, -66
TIME(23148), -0.0971198231748587, -74.5116700392359, 108, 79, 269, 146, -11, -32, -66
TIME(23151), -0.097131982647021, -74.5182905394798, 106, 89, 161, 156, -8, -22, -68
TIME(23153), -0.097142687874804, -74.52412684172, -72, 87, 161, 161, -6, -18, -112
TIME(23155), -0.097151883402261, -74.5290329901417, -72, 86, 89, 163, -6, -17, -111
TIME(23157), -0.0971598901289676, -74.53328214126, 107, 89, 161, 163, -6, -16, -75
TIME(23160), -0.0971671765303178, -74.5371659780836, 108, 84, 269, 163, -6, -16, -79
TIME(23162), -0.0971732343888726, -74.5403447654556, 108, 81, 269, 161, -6, -18, -80
TIME(23165), -0.0971862709066551, -74.5437925658562, 58, 87, 258, 162, -4, -17, -82
TIME(23167), -0.0973908367956686, -74.5471619365289, -58, 84, 109, 168, -1, -12, -106
TIME(23169), -0.097731988934, -74.5493524799305, -73, 83, 93, 170, 0, -10, -106
TIME(23172), -0.0980234884761395, -74.550597105603, -89, 83, 73, 173, -2, -7, -103
TIME(23174), -0.0981806107231329, -74.5509482761801, -81, 77, 89, 159, 7, 18, -84
TIME(23176), -0.0981173175600186, -74.5500708705598, -81, 84, 83, 122, 10, 56, -38
TIME(23178), -0.0979056791957904, -74.5487903872549, 94, 77, 254, 138, 10, 39, -144
TIME(23181), -0.0977527449534189, -74.5480019201418, -53, -17, 65, 22, 3, -22, -17
TIME(23183), -0.0976232914105155, -74.547313566688, 34, -23, 344, 96, -19, -70, -104
TIME(23184), -0.0976068419516822, -74.5472704948799, 59, -22, 312, 107, -72, -6, 97
TIME(23189), -0.0976037918774785, -74.5472662711726, 60, -22, 320, 81, -55, -39, -88
TIME(23191), -0.0976040592706224, -74.5472662327714, 60, -22, 320, 100, -12, -75, -117
TIME(23193), -0.0976044499770928, -74.5472665930066, 60, -22, 320, 95, -16, -74, -111
TIME(23196), -0.0976044155344157, -74.5472666122072, 60, -22, 320, 88, -41, -49, -96
TIME(23198), -0.0976043968357603, -74.5472665569681, 60, -22, 320, 98, -27, -62, -110
TIME(23200), -0.0976043777503515, -74.5472665209296, 60, -22, 320, 86, 31, 58, -77
TIME(23202), -0.0976043966505202, -74.5472665642058, 60, -22, 320, 83, -34, -56, -94
TIME(23204), -0.0976043996554547, -74.5472665642059, 60, -22, 320, 86, 31, 58, 71
TIME(23206), -0.0976043883131514, -74.5472665209296, 60, -22, 320, 85, -41, -64, -110
